reporting-organisation,iati-identifier,aid_project_title,activity_description,full_details,default-currency_for_amounts,total_commitments,total_disbursements,total_reimbursements,total_expenditure,total_incoming-funds,total_loan-repayment,total_interest-repayment,start-planned_iso-date,start-planned,start-actual_iso-date,start-actual,end-planned_iso-date,end-planned,end-actual_iso-date,end-actual,funding-organisations,extending-organisations,accountable-organisations,implementing-organisations,recipient-country_codes,recipient-countries,recipient-country_percentages,recipient-region_codes,recipient-regions,recipient-region_percentages,activity-website,activity-status_code,activity-status,collaboration-type_code,collaboration-type,conditions-attached,condition_types,conditions,sectors,sector_vocabularies,sector_codes,sector_percentages,policy-markers,policy-marker_vocabularies,policy-marker_significance,policy-marker_codes,contact-info_organisation,contact-info_person-name,contact-info_person-name,contact-info_email,contact-info_mailing-address,default-aid-type_code,default-aid-type,default-finance-type_code,default-finance-type,default-flow-type_code,default-flow-type,default-tied-status_code,default-tied-status,related-activities,related-activity_types,last-updated-datetime
UNICEF,XM-DAC-41122-Nigeria-3210/A0/06/005/004,5.4 EDUCATION IN EMERGENCIES,"Children in humanitarian situations have timely and sustained access to quality education services., which contributes to Access To Quality Learning Opportunities, Equitable Access To Quality Education, Health And Development In Early Childhood And Adolescence, Learning Outcomes, Learning, Skills, Participation And Engagement, Prevention And Response Services For Violence Against Children, Promotion Of Care, Mental Health And Psychosocial Well-Being And Justice, Protection From Violence, Exploitation, Abuse And Neglect, Protection From Violence, Exploitation, Abuse And Neglect (Covid), Safe And Equitable Water, Sanitation And Hygiene Services And Practices, Safe And Equitable Water, Sanitation And Hygiene Services And Practices  (Covid), Sanitation, Skills Development, Water, Sanitation And Hygiene Systems And Empowerment Of Communities. UNICEF aims to achieve this through Advocacy And Communications, Advocacy And Public Engagement, Community Engagement, Social And Behaviour Change, Data, Research, Evaluation And Knowledge Management, Evaluations, Research And Data, Systems Strengthening And Institution Building, Systems Strengthening To Leave No One Behind. This contributes to the following Country Programme result:  OUTCOME 5:  All children access and complete quality education, within a safe learning environment, with skills and knowledge for
lifelong learning",http://tools.aidinfolabs.org/explorer/activity/?activity=XM-DAC-41122-Nigeria-3210/A0/06/005/004,USD,0,0,0,0,0,0,0,,,,,,,,,,,,,NG,Nigeria,100,298,WCAR,0,,2,,4,,1,1,"Should contribute directly to results for children as outlined in the UNDAF, national results and/or UNICEF Strategic Plan and within the scope defined in the CPD, CPAP, OMP or other agreed upon programme documents","Other activities for equitable access to quality education e.g. school feeding, school grants; System strengthening - gender-responsive access (excluding SRGBV); Provision of multiple-levels (or alternative pathways of education) teacher training ; Provision of (formal and non-formal) primary education (including in temporary learning spaces); Provision or procurement of multiple-levels (or alternative pathways of education) learning materials ; Provision of (formal and non-formal) secondary education (including in temporary learning spaces, includes general and TVET); Provision of (formal and non-formal) multiple-levels or alternative pathways of education (including in temporary learning spaces); Education humanitarian cluster/humanitarian sector coordination; System strengthening - learning assessment systems; Provision of early learning / pre-primary education teacher training ; Technical assistance - Equitable access to quality education; Provision of training of school communities e.g. parent teacher associations, school management committees; Community-based child, adolescent, parent and caregiver mental health and psychosocial support through child protection; ECD – Parenting support (including gender responsive parenting) to promote responsive care and early stimulation; System strengthening - teacher development, management, and support; Provision of primary education teacher training ; Education facilities and training; System strengthening - Student and community participation and social accountability, e.g. school management committees; Provision of skills development (including in temporary learning spaces); System strengthening - Evidence based education sector planning; System strengthening - Education management information system (does not include learning assessment system); Ending violence against women and girls; System strengthening - early learning / pre-primary policy, leadership, and budget; Provision of training of other education staff excluding teachers (e.g. inspectors, district, ministry staff, etc.); Early childhood education; Budget planning; Reproductive health care; Relief co-ordination and support services; Peace, Justice and Strong Institutions; School feeding; Education policy and administrative management; Teacher Training; Lower Secondary Education; Quality Education; Good Health and Well-being",99; 99; 99; 99; 99; 99; 99; 99; 99; 99; 99; 99; 99; 99; 99; 99; 1; 99; 99; 99; 99; 1; 99; 99; 1; 1; 1; 1; 7; 1; 1; 1; 1; 7; 7,32-01-11; 32-01-10; 32-02-10; 32-01-03; 32-02-04; 32-01-04; 32-01-05; 32-01-13; 32-02-15; 32-02-07; 32-01-99; 32-02-12; 33-02-06; 31-04-03; 32-02-17; 32-02-08; 11120; 32-02-18; 32-02-20; 32-01-12; 32-01-14; 15180; 32-01-17; 32-02-13; 11240; 15117; 13020; 72050; 16; 11250; 11110; 11130; 11260; 4; 3,2.5; .1; .7; 10.9; 17.5; 0; 23.9; .5; 1.4; .1; 10.9; 2.9; .8; .4; .3; 13.6; 27.1; 3.9; 7.1; 1.5; .1; 10.9; .6; .3; 17.5; 4.5; .4; 8.5; .8; 2.5; 14.2; 14.5; 0; 98.8; .4,,1,2,1,UNICEF Nigeria,,23494618600,abuja@unicef.org,Plot 617/618  Diplomatic Drive  Central Business District PMB 2851  Garki  Abuja,C01,,110,,10,,5,,3210/A0/06/005 05 BASIC EDUCATION,1,2022-05-27T00:14:32-04:00
UNICEF,XM-DAC-41122-Nigeria-3210/A0/05/001/006,6 IMPROVED BEHAVIOUR POLIO ERADICATION,"Enhanced support for children, caregivers and community stakeholders, for improved healthy behaviors towards Polio eradication, which contributes to Immunization, Polio Eradication. UNICEF aims to achieve this through Developing And Leveraging Resources And Partnerships, Evaluations, Research And Data, Operational Support To Programme Delivery, Systems Strengthening And Institution Building. This contributes to the following Country Programme result:  By 2017, strengthened health systems, ensure that children and women have equitable access to and use, improved and quality, high-
impact maternal, neonatal and child health interventions and adopt healthy",http://tools.aidinfolabs.org/explorer/activity/?activity=XM-DAC-41122-Nigeria-3210/A0/05/001/006,USD,0,0,0,0,0,0,0,,,,,,,,,,,,,NG,Nigeria,100,298,WCAR,0,,3,,4,,1,1,"Should contribute directly to results for children as outlined in the UNDAF, national results and/or UNICEF Strategic Plan and within the scope defined in the CPD, CPAP, OMP or other agreed upon programme documents",MNTE supplementary immunization activities; Continuous social mobilization and communication; Technical assistance - Polio; Polio social mobilization for campaigns; Polio operational costs; Infectious disease control; Good Health and Well-being,99; 99; 99; 99; 99; 1; 7,21-01-03; 21-02-12; 21-02-13; 21-02-11; 21-02-14; 12250; 3,22.4; 4.7; 8.2; 59.4; 5.3; 100; 100,,1,2,1,UNICEF Nigeria,,23494618600,abuja@unicef.org,Plot 617/618  Diplomatic Drive  Central Business District PMB 2851  Garki  Abuja,C01,,110,,10,,5,,3210/A0/05/001 01 MNCH,1,2022-05-27T00:14:33-04:00
UNICEF,XM-DAC-41122-Nigeria-3210/A0/06/001/001,"1.1  Maternal, Neonatal, and Child Health (MNCH) SYSTEMS","Output 1.1:    The health system at all levels have strengthened capacities and improve utilisation of essential high-impact
maternal, newborn, child and adolescent health interventions, which contributes to Health And Development In Early Childhood And Adolescence, Immunization Services As Part Of Primary Health Care, Maternal And Newborn Health, Strengthening Primary Health Care And High-Impact Health Interventions, Strengthening Primary Health Care And High-Impact Health Interventions (Covid). UNICEF aims to achieve this through Evaluations, Research And Data, Fostering Innovation And Use Of New Technologies, Systems Strengthening And Institution Building, Systems Strengthening To Leave No One Behind. This contributes to the following Country Programme result:  Outcome 1: Children, adolescents and women have equitable access to and use improved and quality, high-impact maternal, neonatal
and child health interventions and adopt healthy life practices.",http://tools.aidinfolabs.org/explorer/activity/?activity=XM-DAC-41122-Nigeria-3210/A0/06/001/001,USD,0,0,0,0,0,0,0,,,,,,,,,,,,,NG,Nigeria,100,298,WCAR,0,,2,,4,,1,1,"Should contribute directly to results for children as outlined in the UNDAF, national results and/or UNICEF Strategic Plan and within the scope defined in the CPD, CPAP, OMP or other agreed upon programme documents","Technical Assistance - MNCH and HSS; HSS - Health sector policy, planning and governance at national or sub-national levels ; Child health policy advocacy, evidence generation, national / subnational capacity development; Maternal and newborn tetanus elimination and sustainability; Financing for PHC/HSS, including private sector engagment; HSS - Health systems procurement and supplies management; IMNCI facilities and referral level management of childhood illnesses (e.g. ETAT, inpatient care); HSS - implementation research in Health; HSS - Community Health System; Epidemic preparedness and response; Facility based maternal and newborn care (including emergency obstetric and newborn care, quality improvement); Implementation of community based integrated prevention and management of childhood illnesses (e.g. iCCM); Community and home based maternal and newborn care; Reproductive health care; Maternal and newborn care policy advocacy, evidence generation, national / subnational capacity development; Health policy and administrative management; Health education; Material relief assistance and services; Basic health care; Health personnel development; Good Health and Well-being",99; 99; 99; 99; 99; 99; 99; 99; 99; 99; 99; 99; 99; 1; 99; 1; 1; 1; 1; 1; 7,31-01-99; 31-01-11; 31-01-06; 31-02-07; 31-01-12; 31-01-10; 31-01-05; 31-01-13; 31-01-09; 31-01-15; 31-01-02; 31-01-04; 31-01-01; 13020; 31-01-03; 12110; 12261; 72010; 12220; 12281; 3,41.6; 2.7; 1.4; 13.9; 0; .3; 3.8; 1; 1.7; 22.9; 2.9; 3.2; 3.6; 7.6; 1; 50.8; 13.9; 22.9; 3.2; 1.7; 100,,1,1,1,UNICEF Nigeria,,23494618600,abuja@unicef.org,Plot 617/618  Diplomatic Drive  Central Business District PMB 2851  Garki  Abuja,C01,,110,,10,,5,,3210/A0/06/001 01 HEALTH,1,2022-05-27T00:14:33-04:00
UNICEF,XM-DAC-41122-Nigeria-3210/A0/06/007/002,7.2. EVIDENCE FOR CHILDREN,"By the end of 2022, Federal and states Governments have increased capacities to generate and use evidence on situation of children
and women for policy formulation., which contributes to Access To Inclusive Social Protection, Reducing Child Poverty, Social Protection. UNICEF aims to achieve this through Evaluations, Research And Data, Systems Strengthening And Institution Building, Systems Strengthening To Leave No One Behind. This contributes to the following Country Programme result: By the end of 2022, government at federal and state level has implemented NSPP and fiscal policies progressively achieving greater
equality",http://tools.aidinfolabs.org/explorer/activity/?activity=XM-DAC-41122-Nigeria-3210/A0/06/007/002,USD,0,0,0,0,0,0,0,,,,,,,,,,,,,NG,Nigeria,100,298,WCAR,0,,2,,4,,1,1,"Should contribute directly to results for children as outlined in the UNDAF, national results and/or UNICEF Strategic Plan and within the scope defined in the CPD, CPAP, OMP or other agreed upon programme documents",Technical assistance - Social protection ; Social services (incl youth development and women+ children); Reduced Inequalities,99; 1; 7,35-02-99; 16015; 10,100; 100; 100,,1,2,1,UNICEF Nigeria,,23494618600,abuja@unicef.org,Plot 617/618  Diplomatic Drive  Central Business District PMB 2851  Garki  Abuja,C01,,110,,10,,5,,3210/A0/06/007 07 SOCIAL INCLUSION,1,2022-05-27T00:14:33-04:00
UNICEF,XM-DAC-41122-Nigeria-3210/A0/04/101/001,"1.1 - MATERNAL, NEWBORN AND CHILD HEALTH","1.1: At least 20% of pregnant women have access to and under take 4 Antenatal Car (ANC) visits and are assisted during delivery by qualified
health personnel in a system that guarantees sustainability by 2013, which contributes to Child Health, Maternal And Newborn Health, Technical Excellence In Policy And Programmes. UNICEF aims to achieve this through Advocacy And Public Engagement, Developing And Leveraging Resources And Partnerships, Systems Strengthening And Institution Building. This contributes to the following Country Programme result:  By end 2013, 50%  of most deprived pregnant women and children under-fiv e have access to and utilize quality Maternal, Neonatal, and Child Health (MNCH) Services and
high impact inter ventions in selected high burden States",http://tools.aidinfolabs.org/explorer/activity/?activity=XM-DAC-41122-Nigeria-3210/A0/04/101/001,USD,0,0,0,0,0,0,0,,,,,,,,,,,,,NG,Nigeria,100,298,WCAR,0,,3,,4,,1,1,"Should contribute directly to results for children as outlined in the UNDAF, national results and/or UNICEF Strategic Plan and within the scope defined in the CPD, CPAP, OMP or other agreed upon programme documents","Community and home based maternal and newborn care; Technical assistance - Maternal and newborn health; Malaria (diagnosis, care and treatment); Country programme process (including UNDAF planning and CCA); Malaria bednets; HQ and RO technical support to multiple Goal Areas; Health policy and administrative management; Administrative costs (non-sector allocable); Malaria control; Reproductive health care; Partnerships for the Goals; Good Health and Well-being",99; 99; 99; 99; 99; 99; 1; 1; 1; 1; 7; 7,21-01-01; 21-01-99; 21-03-06; 26-01-01; 21-03-07; 27-01-06; 12110; 91010; 12262; 13020; 17; 3,42.4; 5; 2; 50.2; .4; 0; 5; 50.2; 2.4; 42.4; 50.2; 49.8,,1,0,1,UNICEF Nigeria,,23494618600,abuja@unicef.org,Plot 617/618  Diplomatic Drive  Central Business District PMB 2851  Garki  Abuja,C01,,110,,10,,5,,"3210/A0/04/101 PCR1 - YH101 - MATERNAL, NEWBORN & CHILD",1,2022-05-27T00:14:34-04:00
UNICEF,XM-DAC-41122-Nigeria-3210/A0/06/002/003,"2.3 Water, Sanitation, and Hygiene (WASH) BEHAVIOUR","Output 2.3:   Parents, children and adolescents have increased knowledge of the risks of poor Water, Sanitation, and Hygiene (WASH) practices (open defecation,
unsafe water, and lack of hand washing) and the skills to adopt safe sanitation and good hygiene practices, which contributes to Safe And Equitable Water, Sanitation And Hygiene Services And Practices, Sanitation, Water, Sanitation And Hygiene Systems And Empowerment Of Communities. UNICEF aims to achieve this through Advocacy And Communications, Advocacy And Public Engagement, Evaluations, Research And Data. This contributes to the following Country Programme result: OUTCOME 2:   Nigerians, especially women, girls and those in vulnerable situations in rural and urban settings have equitable and
sustainable access to and use safe and affordable water supply, sanitation and hygiene practices in communities and institutions
and live in an open defecation-free environment",http://tools.aidinfolabs.org/explorer/activity/?activity=XM-DAC-41122-Nigeria-3210/A0/06/002/003,USD,0,0,0,0,0,0,0,,,,,,,,,,,,,NG,Nigeria,100,298,WCAR,0,,2,,4,,1,1,"Should contribute directly to results for children as outlined in the UNDAF, national results and/or UNICEF Strategic Plan and within the scope defined in the CPD, CPAP, OMP or other agreed upon programme documents",Hand Hygiene and Menstrual Health and Hygiene  – systems strengthening; Sanitation in communities –service delivery – rural ; Technical Assistance – service delivery; Hand Hygiene in communities –service delivery ; Health education; Sanitation – systems strengthening; Water supply and sanitation - large systems; Water sector policy and administrative management; Clean Water and Sanitation,99; 99; 99; 99; 1; 99; 1; 1; 7,34-02-04; 34-01-03; 34-01-99; 34-01-05; 12261; 34-02-03; 14020; 14010; 6,8.5; 40.9; 25; 25.4; 25.4; .1; 49.6; 25; 100,,1,1,1,UNICEF Nigeria,,23494618600,abuja@unicef.org,Plot 617/618  Diplomatic Drive  Central Business District PMB 2851  Garki  Abuja,C01,,110,,10,,5,,3210/A0/06/002 02 WASH,1,2022-05-27T00:14:34-04:00
UNICEF,XM-DAC-41122-Nigeria-3210/A0/04/101/010,"INACTIVE:PCR1 - YH101 - MATERNAL, NEWBORN & CHILD","Inactive                                ms providing equitable Maternal, Neonatal, and Child Health (MNCH) serv
ices to women newborns and children are strengthened, and Advocacy for p
olicy, equity and gender issues ensured by 2012., which contributes to Child Health. UNICEF aims to achieve this through Systems Strengthening And Institution Building. This contributes to the following Country Programme result:  By end 2013, 50%  of most deprived pregnant women and children under-fiv e have access to and utilize quality Maternal, Neonatal, and Child Health (MNCH) Services and
high impact inter ventions in selected high burden States",http://tools.aidinfolabs.org/explorer/activity/?activity=XM-DAC-41122-Nigeria-3210/A0/04/101/010,USD,0,0,0,0,0,0,0,,,,,,,,,,,,,NG,Nigeria,100,298,WCAR,0,,3,,4,,1,1,"Should contribute directly to results for children as outlined in the UNDAF, national results and/or UNICEF Strategic Plan and within the scope defined in the CPD, CPAP, OMP or other agreed upon programme documents","Technical assistance - Maternal and newborn health; Immunization supply chain, including cold chain; Basic health care; Health policy and administrative management; Good Health and Well-being",99; 99; 1; 1; 7,21-01-99; 21-02-02; 12220; 12110; 3,-26.2; 126.2; 126.2; -26.2; 100,,1,2,1,UNICEF Nigeria,,23494618600,abuja@unicef.org,Plot 617/618  Diplomatic Drive  Central Business District PMB 2851  Garki  Abuja,C01,,110,,10,,5,,"3210/A0/04/101 PCR1 - YH101 - MATERNAL, NEWBORN & CHILD",1,2022-05-27T00:14:35-04:00
UNICEF,XM-DAC-41122-Nigeria-3210/A0/04/101/022,"INACTIVE:PCR1 - YH101 - MATERNAL, NEWBORN & CHILD","inactive                                B States under take 4 Antenatal Car (ANC) visits
 and are assisted during delivery by qualified health personnel in a sys
tem that guarantees sustainability by 2012, which contributes to Child Health, Maternal And Newborn Health. UNICEF aims to achieve this through Systems Strengthening And Institution Building. This contributes to the following Country Programme result:  By end 2013, 50%  of most deprived pregnant women and children under-fiv e have access to and utilize quality Maternal, Neonatal, and Child Health (MNCH) Services and
high impact inter ventions in selected high burden States",http://tools.aidinfolabs.org/explorer/activity/?activity=XM-DAC-41122-Nigeria-3210/A0/04/101/022,USD,0,0,0,0,0,0,0,,,,,,,,,,,,,NG,Nigeria,100,298,WCAR,0,,3,,4,,1,1,"Should contribute directly to results for children as outlined in the UNDAF, national results and/or UNICEF Strategic Plan and within the scope defined in the CPD, CPAP, OMP or other agreed upon programme documents","HSS - Health sector policy, planning and governance at national or sub-national levels ; Community and home based maternal and newborn care; Technical assistance - Maternal and newborn health; Immunization supply chain, including cold chain; Health policy and administrative management; Reproductive health care; Basic health care; Good Health and Well-being",99; 99; 99; 99; 1; 1; 1; 7,21-03-11; 21-01-01; 21-01-99; 21-02-02; 12110; 13020; 12220; 3,-2.3; 40.1; 10.1; 52.1; 7.7; 40.1; 52.1; 100,,1,2,1,UNICEF Nigeria,,23494618600,abuja@unicef.org,Plot 617/618  Diplomatic Drive  Central Business District PMB 2851  Garki  Abuja,C01,,110,,10,,5,,"3210/A0/04/101 PCR1 - YH101 - MATERNAL, NEWBORN & CHILD",1,2022-05-27T00:14:35-04:00
UNICEF,XM-DAC-41122-Nigeria-3210/A0/04/103/003,3.3 - MICRONUTRIENT DEFICIENCY C,"% of (U5) children with optimal micronutrient status increased (based on specific micronutrient baseline and target i.e. vitamin A,
 Zinc, Iron, IDD), which contributes to Child Health, Prevention Of Stunting And Other Forms Of Malnutrition. UNICEF aims to achieve this through Advocacy And Public Engagement, Systems Strengthening And Institution Building. This contributes to the following Country Programme result:      PCR3 - YN101 -  50% of Children 0-5 years are not experiencing acute malnutrition focusing on most disadvantaged children by
2013",http://tools.aidinfolabs.org/explorer/activity/?activity=XM-DAC-41122-Nigeria-3210/A0/04/103/003,USD,0,0,0,0,0,0,0,,,,,,,,,,,,,NG,Nigeria,100,298,WCAR,0,,3,,4,,1,1,"Should contribute directly to results for children as outlined in the UNDAF, national results and/or UNICEF Strategic Plan and within the scope defined in the CPD, CPAP, OMP or other agreed upon programme documents","Technical assistance - Maternal and newborn health; MNTE supplementary immunization activities; Vitamin A supplementation in early childhood (children under 5); Breastfeeding protection, promotion and support (including work on Code); Infectious disease control; Health policy and administrative management; Basic nutrition; Zero Hunger; Good Health and Well-being",99; 99; 99; 99; 1; 1; 1; 7; 7,21-01-99; 21-01-03; 21-04-03; 21-04-01; 12250; 12110; 12240; 2; 3,4.2; 14.3; -.5; 82.1; 14.3; 4.2; 81.5; 81.5; 18.5,,1,2,1,UNICEF Nigeria,,23494618600,abuja@unicef.org,Plot 617/618  Diplomatic Drive  Central Business District PMB 2851  Garki  Abuja,C01,,110,,10,,5,,3210/A0/04/103 PCR3 - YH101 -  NUTRITION,1,2022-05-27T00:14:35-04:00
UNICEF,XM-DAC-41122-Nigeria-3210/A0/04/103/017,INACTIVE:PCR3 - YH101 -  NUTRITION,"inactive                                high burden areas of CFO Short:
 01 Management of Severe Malnutrition 50 Health facilities pre-assessed
in Sok, Kat, Keb and Zam States for CMAM  10 LGA H/ Wkers in Batsari and
 Sandamu LGAs acquired TOT skill and capacity to  cascade training and p
rovide supportive supervision to CMAM  300 Community Volunteers and 90 H
ealth Workers in Sandamu and BAtsari LGAs acquired skill and capacity to
 manage CMAM in Katsina State  The capacity of 45 traditional, religious
 leaders and Health workers from Katsina Sandamu and Batsari LGAs develo
ped for community participation and uptake of CMAM 2200 community member
s sensitized for uptake of CMAM in Sandamu and Batsari LGAs  10 new OTPs
 set up in Batsari and Sandamu LGAs The skill and capacity of 90 H/wkrs
developed for facility based SAM management  45 in each of Kogi and Kwar
a states 6 health facility based SAM management sites established in hig
h burden areas of Kogi and Kw, which contributes to Treatment Of Severe Acute Malnutrition. UNICEF aims to achieve this through Advocacy And Public Engagement, Systems Strengthening And Institution Building. This contributes to the following Country Programme result:      PCR3 - YN101 -  50% of Children 0-5 years are not experiencing acute malnutrition focusing on most disadvantaged children by
2013",http://tools.aidinfolabs.org/explorer/activity/?activity=XM-DAC-41122-Nigeria-3210/A0/04/103/017,USD,0,0,0,0,0,0,0,,,,,,,,,,,,,NG,Nigeria,100,298,WCAR,0,,3,,4,,1,1,"Should contribute directly to results for children as outlined in the UNDAF, national results and/or UNICEF Strategic Plan and within the scope defined in the CPD, CPAP, OMP or other agreed upon programme documents",Capacity development of ECD frontline workers ; Early childhood education; Good Health and Well-being,99; 1; 7,21-08-01; 11240; 3,100; 100; 100,,1,2,1,UNICEF Nigeria,,23494618600,abuja@unicef.org,Plot 617/618  Diplomatic Drive  Central Business District PMB 2851  Garki  Abuja,C01,,110,,10,,5,,3210/A0/04/103 PCR3 - YH101 -  NUTRITION,1,2022-05-27T00:14:36-04:00
